symptoms,disease,risk_level
loss of appetite and swollen salivary glands and muscle aches,Mumps,MEDIUM
"fatigue, weight loss, tremors",Hyperthyroidism,MEDIUM
"weight gain, muscle weakness, dry skin, constipation, fatigue, cold sensitivity",Hypothyroidism,MEDIUM
"back pain, weakness, stooped posture, joint pain, bone fractures",Osteoporosis,MEDIUM
"staring spells, confusion, loss of consciousness, seizures",Epilepsy,HIGH
stooped posture and loss of height and back pain and weakness,Osteoporosis,MEDIUM
scaling burning sensation itching,Fungal Infection,LOW
"high fever, runny nose, cough, sensitivity to light, rash, red eyes",Measles,MEDIUM
pain during urination and nausea and severe pain in side and pink urine and frequent urination,Kidney Stones,HIGH
runny nose and facial pain and headache and bad breath and fever and nasal congestion,Sinusitis,LOW
"irritability, headache, difficulty concentrating, difficulty falling asleep, waking up at night",Insomnia,LOW
"shortness of breath, mucus production, chest discomfort, mild fever",Bronchitis,MEDIUM
burning sensation redness scaling,Fungal Infection,LOW
"dark urine, dry skin, dry mouth, fatigue, dizziness",Dehydration,MEDIUM
itchy nose and itchy throat and sneezing and runny nose and watery eyes and nasal congestion,Allergic Rhinitis,LOW
watery eyes red eyes gritty feeling discharge from eyes itchy eyes,Conjunctivitis,LOW
chest pain headache dizziness,Hypertension,HIGH
gritty feeling and sensitivity to light and itchy eyes and red eyes,Conjunctivitis,LOW
appetite changes difficulty concentrating persistent sadness sleep problems,Depression,MEDIUM
swollen legs shortness of breath fatigue chest pain dizziness irregular heartbeat,Heart Disease,HIGH
rough patches dry skin cracked skin red patches itchy skin,Eczema,LOW
diarrhea fever vomiting,Food Poisoning,MEDIUM
neck pain dull headache tenderness on scalp pressure around forehead,Tension Headache,LOW
"headache, loss of appetite, fatigue",Mumps,MEDIUM
"vomiting, dark stool, nausea",Peptic Ulcer,MEDIUM
gas diarrhea cramping,Irritable Bowel Syndrome,LOW
coughing blood and persistent cough and fever and night sweats and chest pain,Tuberculosis,HIGH
unconsciousness and high body temperature and confusion and red skin and rapid heartbeat and nausea,Heat Stroke,HIGH
"nausea, headache, eye pain, blurred vision, halos around lights, vision loss",Glaucoma,HIGH
"stomach pain, nausea, hives, difficulty breathing",Food Allergy,MEDIUM
"visual disturbances, nausea, vomiting",Migraine,LOW
fever nasal congestion facial pain bad breath,Sinusitis,LOW
"itching, redness, cracking skin",Fungal Infection,LOW
fever and headache and fatigue,Chickenpox,MEDIUM
"fatigue, pressure around forehead, dull headache",Tension Headache,LOW
regurgitation difficulty swallowing sour taste,Acid Reflux (GERD),LOW
"swelling, muscle pain, muscle spasms, limited movement, weakness, bruising",Muscle Strain,LOW
"pimples, oily skin, whiteheads",Acne,LOW
"vision loss, nausea, halos around lights, headache, blurred vision",Glaucoma,HIGH
